(Animal,Session):    Fraction radial    Fraction Discrepency    Total # data points
(66,64):    0.098    0.106    10842
(66,56):    0.078    0.108    36056
(66,70):    0.094    0.136    106367
(66,67):    0.080    0.137    107405
(66,60):    0.115    0.141    90693
(66,72):    0.146    0.145    107182
(66,61):    0.102    0.145    109661
(66,71):    0.115    0.148    103192
(66,62):    0.158    0.152    87109
(66,69):    0.093    0.153    98283
(66,73):    0.101    0.153    1852
(66,68):    0.121    0.162    110491
(66,57):    0.109    0.162    54240
(65,5):    0.099    0.173    105881
(66,59):    0.126    0.174    104458
(66,74):    0.144    0.180    106266
(66,75):    0.120    0.182    109043
(66,66):    0.136    0.207    107892
(66,58):    0.100    0.209    103803
(66,55):    0.111    0.212    101785
(66,65):    0.212    0.221    49151
(65,2):    0.127    0.225    107868
(66,76):    0.135    0.235    105448
(65,4):    0.119    0.236    23544
(65,21):    0.107    0.239    78613
(66,53):    0.103    0.247    7328
(66,54):    0.130    0.248    83128
(65,16):    0.120    0.264    110672
(65,6):    0.115    0.268    143387
(65,1):    0.118    0.274    107303
(66,51):    0.152    0.276    81896
(66,49):    0.201    0.280    80526
(66,63):    0.216    0.289    48375
(66,50):    0.174    0.295    83266
(66,48):    0.116    0.298    82386
(65,13):    0.117    0.303    108844
(65,3):    0.117    0.304    77504
(65,18):    0.126    0.305    90934
(65,17):    0.122    0.319    105191
(66,52):    0.212    0.325    97459
(65,26):    0.109    0.325    81524
(65,14):    0.172    0.327    97575
(66,47):    0.110    0.327    72096
(65,25):    0.125    0.329    81475
(65,27):    0.149    0.334    88978
(65,19):    0.114    0.335    108178
(65,10):    0.121    0.341    109351
(65,9):    0.128    0.353    110727
(65,12):    0.136    0.355    91401
(65,7):    0.121    0.369    107347
(65,8):    0.121    0.369    107347
(66,46):    0.164    0.380    100522
(65,24):    0.124    0.384    81461
(65,20):    0.127    0.395    97591
(65,11):    0.131    0.399    108319
(65,22):    0.154    0.496    43878
(65,23):    0.140    0.572    4768
(66,45):    0.100    0.611    3290

