Animal    Session    Cells
66    56    0
66    58    0
66    63    0
68    12    0
70    18    0
71    10    0
71    16    0
71    17    0
71    26    0
71    27    0
71    29    0
73    5    0
73    21    0
71    9    1
71    14    1
71    28    1
73    8    1
73    9    1
73    13    1
67    9    2
71    12    2
73    10    2
66    75    3
68    6    3
71    32    3
73    12    3
73    14    3
66    0    4
66    76    4
68    5    4
68    18    4
71    20    4
71    24    4
73    7    4
73    20    4
66    62    5
67    1    5
71    8    5
71    22    5
73    6    5
73    17    5
66    74    6
67    3    6
67    15    6
67    16    6
67    17    6
68    7    6
68    17    6
70    13    6
70    23    6
70    28    6
71    11    6
71    21    6
71    33    6
66    72    7
68    11    7
70    25    7
71    13    7
73    18    7
65    22    8
66    66    8
70    5    8
70    14    8
70    26    8
70    27    8
73    15    8
67    18    9
70    2    9
71    25    9
65    2    10
65    6    10
66    71    10
68    15    10
68    16    10
68    21    10
70    24    10
71    23    10
67    7    11
68    4    11
70    1    11
70    4    11
71    30    11
65    4    12
67    2    12
67    14    12
68    14    12
71    31    12
73    3    12
65    14    13
65    16    13
67    4    13
67    6    13
67    13    13
68    13    13
65    3    14
66    46    14
67    10    14
68    9    14
70    16    14
70    21    14
65    24    15
66    69    15
67    12    15
68    2    15
68    10    15
68    20    15
68    22    15
68    28    15
67    19    16
68    19    16
70    11    16
70    22    16
66    49    17
66    54    17
68    23    17
68    29    17
66    59    18
67    8    18
65    20    19
66    47    19
68    30    19
73    4    19
68    1    20
70    9    20
65    8    21
70    12    21
70    17    21
68    3    22
65    1    23
65    13    23
66    70    23
67    5    23
65    26    24
67    20    24
65    11    25
65    21    25
66    48    25
66    55    25
68    31    25
65    5    26
65    19    26
65    27    26
66    68    27
66    67    28
65    9    29
66    52    29
66    51    30
70    20    30
65    7    31
65    17    31
70    15    31
65    10    32
65    12    32
66    57    34
70    3    36
66    50    37
65    25    38
70    19    38
65    18    42
66    60    46
66    61    49
70    10    64
70    8    72
